,Unnamed: 0,EPIC,Unnamed: 0.1,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,Class,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,58,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,r_z,J_K,g_z,g_i,J-K,SDSS_g,PS1_g,SDSS_r,PS1_r,SDSS_i,PS1_i,SDSS_z,PS1_z,SDSS_y,PS1_y,thresh20p
117,117,211414403,68.0,0.086479,18.8169,17.6068,17.016,16.7506,16.602,15.482000000000001,14.764000000000001,14.520999999999999,133.119493,11.857994999999999,M,M1,3700.0,3.568,-1.44,9.69,-1.4,1.475,,0.983,1.172,0.9590000000000001,2.019,4.02,0.613,0.225,0.13699999999999998,,,,0.53,,,6.51,5.67,8.25,0.41,,0.496,M1V,V  ,2.72,1.33,0.78,0.46,1.2,0.67,0.25,6.04,76.37626158016927,0.0992,0.17499999999999982,,1.9671458383502263e+30,1.1866734460852196e+30,6.3341202864830065e+29,4.7817290276134684e+29,0.8562000000000012,0.9610000000000021,2.0663000000000022,1.8009000000000022,0.9610000000000021,19.027549627723655,18.8169,17.637456141293793,17.6068,17.01275069744274,17.016,16.690144752760112,16.7506,16.695324919551133,16.602,473.2849329665197
118,118,211414799,46.0,0.174488,13.8914,13.5683,13.5134,13.4696,13.4505,12.610999999999999,12.355,12.322000000000001,133.130899,11.864249000000001,BM,G0,5920.0,3.772,-0.09,4.45,0.14,0.596,0.65,0.191,0.057999999999999996,0.336,0.664,1.44,0.262,0.067,0.027000000000000003,-0.043,-0.043,-0.01,1.08,9.7,,3.34,3.01,4.4,,,1.12,G0V,V  ,1.3,0.38,0.14,0.02,0.71,0.28,0.0,3.18,83.26663997660192,0.2240000000000001,0.16500000000000006,,1.1600581328788684e+32,8.401004635966279e+33,2.992857567517304e+31,3.1917646267567214e+33,0.0987000000000009,0.2889999999999979,0.42180000000000106,0.3780000000000001,0.2889999999999979,13.95819456013816,13.8914,13.59675030656816,13.5683,13.503149022448163,13.5134,13.456412082927198,13.4696,13.426694445410321,13.4505,25.65853359236611
119,119,211414938,55.0,0.168448,14.9773,14.4422,14.2483,14.1876,14.1382,13.218,12.797,12.776,132.597465,11.866257000000001,BM,G9,5340.0,3.728,-0.21,5.55,-0.25,0.777,0.894,0.267,0.358,0.423,0.82,1.861,0.365,0.087,0.028999999999999998,-0.06,-0.038,-0.018000000000000002,0.9,,,4.14,3.69,5.34,,,0.8759999999999999,G9V,,,,,,,,,,108.16653826230892,0.1752,0.09499999999999977,,4.473702464377127e+31,9.645643896996797e+32,1.298580190058063e+31,2.109942005707607e+32,0.25459999999999994,0.44200000000000017,0.7896999999999998,0.7289999999999992,0.44200000000000017,15.084881259684868,14.9773,14.474916897408619,14.4422,14.239389952823622,14.2483,14.1589749083679,14.1876,14.155560266536488,14.1382,48.48296502921117
120,120,211414974,66.0,0.055759,18.4783,17.3241,16.7732,16.5432,16.399,15.28,14.652999999999999,14.47,133.11646000000002,11.866789,M,M0,3870.0,3.588,-1.16,8.91,-1.2,1.4080000000000001,1.6230000000000002,0.8320000000000001,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.6,,,6.04,5.22,7.75,0.33,,0.5589999999999999,M0V,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,69.99999999736431,0.1118,0.08000000000000007,,3.3278371931832423e+30,3.752590928470313e+30,1.0087642760722682e+30,6.912527945600352e+29,0.7809000000000026,0.8099999999999987,1.935100000000002,1.7051000000000016,0.8099999999999987,18.68082832084999,18.4783,17.35517303861158,17.3241,16.769276801307914,16.7732,16.485755195004703,16.5432,16.485556567582922,16.399,344.6772620554769
121,121,211415085,63.0,0.187919,17.5644,16.6089,16.2435,16.0737,15.9619,14.907,14.376,14.084000000000001,132.51944699999999,11.868561,M,K7,4070.0,3.61,-0.95,8.15,-0.98,1.308,1.506,0.688,1.2209999999999999,0.8059999999999999,1.5290000000000001,3.33,0.617,0.162,0.057,,,,0.65,,,5.6,4.82,7.18,,,0.654,K7V,V  ,2.56,1.34,0.54,0.3,1.01,0.6,0.11,5.77,117.89826122396376,0.1308,0.15500000000000025,,6.020849216393901e+30,1.3942197303171907e+31,2.155679742981379e+30,4.975979829449148e+30,0.5351999999999997,0.8229999999999986,1.4907000000000004,1.3208999999999982,0.8229999999999986,17.732407793627537,17.5644,16.641795113063676,16.6089,16.237268759204632,16.2435,16.02703020838907,16.0737,16.02393575803611,15.9619,192.5862729994398
122,122,211415591,63.0,0.098312,17.0458,16.1811,15.8528,15.7474,15.6434,14.615,14.083,13.884,132.544387,11.876391,M,K7,4070.0,3.61,-0.95,8.15,-0.98,1.308,1.506,0.688,1.2209999999999999,0.8059999999999999,1.5290000000000001,3.33,0.617,0.162,0.057,,,,0.65,,,5.6,4.82,7.18,,,0.654,K7V,V  ,2.56,1.34,0.54,0.3,1.01,0.6,0.11,5.77,117.89826122396376,0.1308,0.15500000000000025,,6.020849216393901e+30,1.3942197303171907e+31,2.155679742981379e+30,4.975979829449148e+30,0.4337,0.7309999999999999,1.2983999999999989,1.1929999999999996,0.7309999999999999,17.201550309894312,17.0458,16.214432829318067,16.1811,15.84591745857306,15.8528,15.7042105031727,15.7474,15.697232562751369,15.6434,127.28621176505638
123,123,211416353,66.0,0.166851,18.102999999999998,16.9957,16.5312,16.3181,16.1886,15.217,14.463,14.273,133.180138,11.88727,M,M0,3870.0,3.588,-1.16,8.91,-1.2,1.4080000000000001,1.6230000000000002,0.8320000000000001,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.6,,,6.04,5.22,7.75,0.33,,0.5589999999999999,M0V,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,69.99999999736431,0.1118,0.08000000000000007,,3.3278371931832423e+30,3.752590928470313e+30,1.0087642760722682e+30,6.912527945600352e+29,0.6775999999999982,0.9440000000000008,1.7848999999999968,1.5717999999999996,0.9440000000000008,18.29391902306061,18.102999999999998,17.027420743623573,16.9957,16.526408900402814,16.5312,16.264560875557336,16.3181,16.266360250243327,16.1886,280.0162091944907
124,124,211416616,63.0,0.345236,17.648,16.6622,16.2688,16.1034,15.9959,14.934000000000001,14.283,14.18,132.630248,11.891069,M,K7,4070.0,3.61,-0.95,8.15,-0.98,1.308,1.506,0.688,1.2209999999999999,0.8059999999999999,1.5290000000000001,3.33,0.617,0.162,0.057,,,,0.65,,,5.6,4.82,7.18,,,0.654,K7V,V  ,2.56,1.34,0.54,0.3,1.01,0.6,0.11,5.77,117.89826122396376,0.1308,0.15500000000000025,,6.020849216393901e+30,1.3942197303171907e+31,2.155679742981379e+30,4.975979829449148e+30,0.558799999999998,0.7540000000000013,1.544599999999999,1.3792000000000009,0.7540000000000013,17.821461693340638,17.648,16.69484786506031,16.6622,16.262882985229265,16.2688,16.055157605235916,16.1034,16.061581953310636,15.9959,151.76386345443225
125,125,211416648,62.0,0.164576,17.2198,16.3346,15.9668,15.7942,15.6877,14.652999999999999,14.113,13.940999999999999,132.619536,11.891701,M,K6,4230.0,3.626,-0.81,7.8,-0.9,1.24,1.439,0.617,1.1840000000000002,0.759,1.42,3.1430000000000002,0.601,0.14800000000000002,0.049,,,,0.68,,,5.41,4.66,6.99,,,0.6609999999999999,K6V,,,,,,,,,,170.0980109612371,0.13219999999999998,0.15500000000000025,,7.613378808678038e+30,2.1593906887309408e+31,3.1434325238497875e+30,7.706880255224127e+30,0.5403999999999982,0.7119999999999997,1.425599999999999,1.253,0.7119999999999997,17.381351490246914,17.2198,16.36774826964566,16.3346,15.96021678240066,15.9668,15.7493680839147,15.7942,15.74542827897157,15.6877,153.54765652679353
126,126,211416925,66.0,0.209398,18.8675,17.6372,16.9273,16.6019,16.4192,15.242,14.535,14.450999999999999,132.492268,11.895616,M,M0,3870.0,3.588,-1.16,8.91,-1.2,1.4080000000000001,1.6230000000000002,0.8320000000000001,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.6,,,6.04,5.22,7.75,0.33,,0.5589999999999999,M0V,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,69.99999999736431,0.1118,0.08000000000000007,,3.3278371931832423e+30,3.752590928470313e+30,1.0087642760722682e+30,6.912527945600352e+29,1.0352999999999994,0.7910000000000021,2.265599999999999,1.9402000000000008,0.7910000000000021,19.089649316642443,18.8675,17.66738977638707,17.6372,16.925112424401426,16.9273,16.53665631206081,16.6019,16.523327509064444,16.4192,845.2154351462606
127,127,211417559,66.0,0.200055,19.0629,17.8455,17.1647,16.8673,16.698,15.605,14.793,14.712,132.583879,11.905085,M,M0,3870.0,3.588,-1.16,8.91,-1.2,1.4080000000000001,1.6230000000000002,0.8320000000000001,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.6,,,6.04,5.22,7.75,0.33,,0.5589999999999999,M0V,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,69.99999999736431,0.1118,0.08000000000000007,,3.3278371931832423e+30,3.752590928470313e+30,1.0087642760722682e+30,6.912527945600352e+29,0.9782000000000012,0.8930000000000007,2.195599999999999,1.8981999999999992,0.8930000000000007,19.281619221277367,19.0629,17.8758085366701,17.8455,17.162181636449652,17.1647,16.803558377867507,16.8673,16.798731276457524,16.698,650.5153587067872
128,128,211417658,51.0,0.177885,15.0319,14.6027,14.4627,14.4264,14.383,13.520999999999999,13.132,13.128,132.57661299999998,11.906684,SM,G5,5660.0,3.753,-0.13,4.98,-0.05,0.68,0.764,0.225,0.185,0.377,0.738,1.635,0.31,0.076,0.027999999999999997,-0.052000000000000005,-0.040999999999999995,-0.013999999999999999,0.98,,,3.74,3.35,4.84,,,0.982,G5V,V  ,1.49,0.49,0.16,0.06,0.78,0.29,0.03,3.54,47.258156258881655,0.1964,0.029999999999999805,,7.330444512198243e+31,3.0502204213412435e+33,1.727843339061411e+31,2.107017621757896e+32,0.17630000000000126,0.3929999999999989,0.6055000000000009,0.5692000000000004,0.3929999999999989,15.121411598728617,15.0319,14.633986732706294,14.6027,14.453169927811256,14.4627,14.404161316377197,14.4264,14.383533906786205,14.383,49.1845339664007
129,129,211417817,66.0,0.147555,19.3347,18.0736,17.2969,16.926,16.7507,15.636,14.832,14.714,132.610678,11.908991,M,M0,3870.0,3.588,-1.16,8.91,-1.2,1.4080000000000001,1.6230000000000002,0.8320000000000001,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.6,,,6.04,5.22,7.75,0.33,,0.5589999999999999,M0V,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,69.99999999736431,0.1118,0.08000000000000007,,3.3278371931832423e+30,3.752590928470313e+30,1.0087642760722682e+30,6.912527945600352e+29,1.1476000000000006,0.9219999999999988,2.408700000000003,2.0378000000000007,0.9219999999999988,19.564702259717386,19.3347,18.10360466763905,18.0736,17.295518556654688,17.2969,16.857042645186446,16.926,16.86326249847021,16.7507,896.5565389847474
130,130,211418141,70.0,0.29478200000000004,21.037,19.7946,18.6803,18.1455,17.9002,16.671,16.048,,132.59798899999998,11.913555,M,M2,3550.0,3.55,-1.65,10.3,-1.57,1.5,,1.0859999999999999,1.17,1.001,2.173,4.24,0.6,0.23399999999999999,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.37626158015652,0.0868,0.125,,1.1620251549648296e+30,4.724232079919543e+29,3.857144558204613e+29,1.3597432953833746e+29,1.649100000000001,,2.8915000000000006,2.3567,,21.29162277285133,21.037,19.82522547033417,19.7946,18.68195286950725,18.6803,18.06169116342396,18.1455,18.04710103755267,17.9002,873972.5351542087
131,131,211418176,52.0,0.154696,14.3909,14.0177,13.8884,13.8745,13.8437,12.968,12.665,12.562999999999999,132.61688600000002,11.914045,SM,G6,5590.0,3.747,-0.15,5.13,-0.11,0.7040000000000001,0.7959999999999999,0.235,0.22699999999999998,0.38799999999999996,0.758,1.6909999999999998,0.324,0.079,0.027999999999999997,-0.053,-0.04,-0.012,0.97,,,3.84,3.44,4.98,,,0.9390000000000001,G6V,,,,,,,,,,65.06407098382446,0.1878,0.07000000000000027,,6.202868294433728e+31,2.209689359374681e+33,1.5514085995938644e+31,3.561598445330608e+32,0.14320000000000022,0.4050000000000011,0.5164000000000009,0.5024999999999995,0.4050000000000011,14.472625927122346,14.3909,14.048146976649686,14.0177,13.878616938821564,13.8884,13.855227528423436,13.8745,13.836309550475153,13.8437,34.384122063643844
132,132,211418370,60.0,0.16628099999999998,16.8075,16.0168,15.7366,15.6253,15.5421,14.529000000000002,14.047,13.845,133.229937,11.916891,SM,K4,4620.0,3.665,-0.55,7.04,-0.71,1.1,1.306,0.47700000000000004,1.004,0.64,1.19,2.733,0.544,0.125,0.039,-0.073,-0.031,0.009000000000000001,0.73,,,4.98,4.31,6.48,,,0.6890000000000001,K4V,V  ,2.21,1.0,0.38,0.16,1.01,0.59,0.1,5.21,209.99999999914507,0.1378,0.16000000000000014,,1.3393987013041351e+31,6.987651297062333e+31,5.700977555370194e+30,2.574345873865e+31,0.3915000000000006,0.684000000000001,1.1822000000000017,1.0709000000000015,0.684000000000001,16.95115643701832,16.8075,16.050363980238824,16.0168,15.729139013667282,15.7366,15.58555554022082,15.6253,15.587610064524537,15.5421,141.58742570235145
133,133,211418464,62.0,0.160772,17.1369,16.2722,15.9436,15.8106,15.7226,14.654000000000002,14.186,13.934000000000001,132.439046,11.918463000000001,M,K6,4230.0,3.626,-0.81,7.8,-0.9,1.24,1.439,0.617,1.1840000000000002,0.759,1.42,3.1430000000000002,0.601,0.14800000000000002,0.049,,,,0.68,,,5.41,4.66,6.99,,,0.6609999999999999,K6V,,,,,,,,,,170.0980109612371,0.13219999999999998,0.15500000000000025,,7.613378808678038e+30,2.1593906887309408e+31,3.1434325238497875e+30,7.706880255224127e+30,0.4616000000000007,0.7200000000000006,1.3262999999999998,1.1933000000000007,0.7200000000000006,17.292679544150026,17.1369,16.305532010625267,16.2722,15.936718929208482,15.9436,15.767402227849992,15.8106,15.776452305768016,15.7226,137.6693398492158
134,134,211418682,68.0,0.238527,18.8525,17.6538,17.0406,16.7615,16.6078,15.556,14.890999999999998,14.609000000000002,132.43791399999998,11.9217,M,M1,3700.0,3.568,-1.44,9.69,-1.4,1.475,,0.983,1.172,0.9590000000000001,2.019,4.02,0.613,0.225,0.13699999999999998,,,,0.53,,,6.51,5.67,8.25,0.41,,0.496,M1V,V  ,2.72,1.33,0.78,0.46,1.2,0.67,0.25,6.04,76.37626158016927,0.0992,0.17499999999999982,,1.9671458383502263e+30,1.1866734460852196e+30,6.3341202864830065e+29,4.7817290276134684e+29,0.8922999999999988,0.9469999999999974,2.0909999999999966,1.8118999999999976,0.9469999999999974,19.06407076686376,18.8525,17.684412447182513,17.6538,17.03743092407731,17.0406,16.700685682456687,16.7615,16.70193287039927,16.6078,417.8342880306257
135,135,211419666,61.0,0.076446,16.9678,16.0994,15.8088,15.6866,15.5862,14.555,14.072000000000001,13.912,132.492952,11.936344,M,K5,4410.0,3.644,-0.68,7.36,-0.78,1.15,1.3730000000000002,0.525,1.081,0.685,1.272,2.883,0.568,0.132,0.042,-0.073,-0.028999999999999998,0.019,0.71,,,5.18,4.48,6.68,,,0.698,K5V,V  ,2.54,1.18,0.4,0.2,1.06,0.62,0.1,5.45,195.19221295850463,0.1396,0.16000000000000014,,1.0797876867412585e+31,4.408909906548034e+31,4.6144997107641835e+30,1.6243024363474054e+31,0.41279999999999895,0.6429999999999989,1.2812,1.1590000000000007,0.6429999999999989,17.12022202449257,16.9678,16.132818224028824,16.0994,15.801752414893821,15.8088,15.644353465676902,15.6866,15.637775126394391,15.5862,159.39387783069643
136,136,211420247,67.0,0.273834,18.8014,17.6162,17.0194,16.7429,16.5857,15.467,14.797,14.481,132.465196,11.944541000000001,M,M0.5,3800.0,3.58,-1.38,9.2,-1.27,1.4409999999999998,,0.902,1.1840000000000002,0.924,1.886,3.84,0.62,0.20800000000000002,0.13,,,,0.56,,,6.19,5.36,7.9,0.37,,0.535,M0.5V,,,,,,,,,,85.44003745101017,0.107,0.08000000000000007,,2.7441861672404844e+30,2.656630928328716e+30,9.064164601647388e+29,4.893695018525311e+29,0.8733000000000004,0.9860000000000008,2.058500000000002,1.7819999999999998,0.9860000000000008,19.010461553455443,18.8014,17.646933466545438,17.6162,17.016014248745442,17.0194,16.683054866544794,16.7429,16.67765258537688,16.5857,399.5536849608421
137,137,211420394,46.0,0.150255,13.7102,13.472000000000001,13.366,13.3104,13.2701,12.463,12.189,12.155,132.500105,11.946691,SM,G0,5920.0,3.772,-0.09,4.45,0.14,0.596,0.65,0.191,0.057999999999999996,0.336,0.664,1.44,0.262,0.067,0.027000000000000003,-0.043,-0.043,-0.01,1.08,9.7,,3.34,3.01,4.4,,,1.12,G0V,V  ,1.3,0.38,0.14,0.02,0.71,0.28,0.0,3.18,83.26663997660192,0.2240000000000001,0.16500000000000006,,1.1600581328788684e+32,8.401004635966279e+33,2.992857567517304e+31,3.1917646267567214e+33,0.16160000000000174,0.30799999999999983,0.3998000000000008,0.3442000000000007,0.30799999999999983,13.772849041534805,13.7102,13.499805047261233,13.472000000000001,13.355622259001196,13.366,13.298997825369494,13.3104,13.241443613178337,13.2701,28.75437010095175
138,138,211420874,64.0,0.327131,17.8024,16.7764,16.365,16.1745,16.0497,14.96,14.347000000000001,14.205,132.542408,11.953513000000001,M,K8,4000.0,3.602,-1.03,8.47,-1.1,1.3559999999999999,1.5619999999999998,0.7509999999999999,1.216,0.843,1.632,3.487,0.623,0.17600000000000002,0.081,,,,0.63,,,5.78,4.98,7.44,,,0.5870000000000001,K8V,,,,,,,,,,65.06407098365453,0.11740000000000002,0.13000000000000034,,4.388824163257169e+30,7.661807289480494e+30,1.2739350639832152e+30,2.2934552225196235e+30,0.6019000000000005,0.7550000000000008,1.6279000000000003,1.4374000000000002,0.7550000000000008,17.981225970431694,17.8024,16.808780478198184,16.7764,16.359408468299662,16.365,16.124681571819146,16.1745,16.119004241032282,16.0497,210.9936381213375
139,139,211420952,66.0,0.335721,18.7051,17.5359,16.9358,16.6725,16.5069,15.513,14.737,14.589,132.54830900000002,11.954516,M,M0,3870.0,3.588,-1.16,8.91,-1.2,1.4080000000000001,1.6230000000000002,0.8320000000000001,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.6,,,6.04,5.22,7.75,0.33,,0.5589999999999999,M0V,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,69.99999999736431,0.1118,0.08000000000000007,,3.3278371931832423e+30,3.752590928470313e+30,1.0087642760722682e+30,6.912527945600352e+29,0.8634000000000022,0.9239999999999996,2.032600000000002,1.7693000000000012,0.9239999999999996,18.913090575885253,18.7051,17.566686928895688,17.5359,16.932323541933304,16.9358,16.613060135887938,16.6725,16.59794128948311,16.5069,402.19099839142274
140,140,211421327,59.0,0.07935,16.6003,15.8564,15.5978,15.4837,15.4049,14.409,13.811,13.834000000000001,133.12988700000002,11.960402,SM,K3,4830.0,3.684,-0.41,6.57,-0.58,0.98,1.15,0.376,0.7759999999999999,0.537,1.013,2.38,0.483,0.109,0.033,-0.071,-0.031,-0.008,0.78,,,4.76,4.16,6.16,,,0.7290000000000001,K3V,V  ,2.1,0.85,0.32,0.13,0.99,0.58,0.01,4.94,209.99999999915192,0.1458,0.14000000000000012,,1.9224915655288019e+31,1.459927281870955e+32,7.876361928480843e+30,4.706249514527933e+31,0.3727,0.5749999999999993,1.1166,1.0025000000000013,0.5749999999999993,16.737006463028592,16.6003,15.889990616462187,15.8564,15.59003105675906,15.5978,15.445974682485941,15.4837,15.445436835568906,15.4049,122.93189326071884
141,141,211421905,54.0,0.180466,15.2211,14.7497,14.6006,14.5569,14.5235,13.675999999999998,13.263,13.219000000000001,133.197652,11.969059,SM,G8,5490.0,3.734,-0.17,5.32,-0.17,0.737,0.8420000000000001,0.249,0.284,0.40399999999999997,0.7859999999999999,1.768,0.342,0.08199999999999999,0.027999999999999997,-0.057,-0.039,-0.018000000000000002,0.94,,,3.97,3.55,5.15,,,0.909,G8V,V  ,1.6,0.57,0.19,0.06,0.87,0.37,0.04,3.85,100.1665280070446,0.1818,0.06500000000000039,,5.45063231922809e+31,1.493933356778037e+33,1.5244349552817583e+31,2.2359406402083957e+32,0.19280000000000008,0.4569999999999972,0.6641999999999992,0.6204999999999998,0.4569999999999972,15.316500928216676,15.2211,14.7815316463334,14.7497,14.591266451572777,14.6006,14.532506227300384,14.5569,14.5297515647397,14.5235,52.65177122849126
142,142,211422418,59.0,0.062051,15.8248,15.2236,14.9801,14.8884,14.8119,13.853,13.417,13.297,132.58813999999998,11.976902,BM,K3,4830.0,3.684,-0.41,6.57,-0.58,0.98,1.15,0.376,0.7759999999999999,0.537,1.013,2.38,0.483,0.109,0.033,-0.071,-0.031,-0.008,0.78,,,4.76,4.16,6.16,,,0.7290000000000001,K3V,V  ,2.1,0.85,0.32,0.13,0.99,0.58,0.01,4.94,209.99999999915192,0.1458,0.14000000000000012,,1.9224915655288019e+31,1.459927281870955e+32,7.876361928480843e+30,4.706249514527933e+31,0.3351999999999986,0.5559999999999992,0.936399999999999,0.8446999999999996,0.5559999999999992,15.94497053585014,15.8248,15.256900941206073,15.2236,14.971657449124365,14.9801,14.855687999090257,14.8884,14.839808111990507,14.8119,57.309518813000395
143,143,211422813,66.0,0.299671,18.8932,17.6827,17.0683,16.7832,16.6335,15.591,14.834000000000001,14.681,132.50093600000002,11.982667999999999,M,M0,3870.0,3.588,-1.16,8.91,-1.2,1.4080000000000001,1.6230000000000002,0.8320000000000001,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.6,,,6.04,5.22,7.75,0.33,,0.5589999999999999,M0V,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,69.99999999736431,0.1118,0.08000000000000007,,3.3278371931832423e+30,3.752590928470313e+30,1.0087642760722682e+30,6.912527945600352e+29,0.8994999999999997,0.91,2.1099999999999994,1.8248999999999995,0.91,19.10585643463672,18.8932,17.71326212606555,17.6827,17.065226515458907,17.0683,16.721957434278185,16.7832,16.7285968112898,16.6335,4534.037080871938
144,144,211423010,54.0,0.181672,15.3058,14.8243,14.6732,14.6286,14.5968,13.700999999999999,13.333,13.276,132.589044,11.9858,SM,G8,5490.0,3.734,-0.17,5.32,-0.17,0.737,0.8420000000000001,0.249,0.284,0.40399999999999997,0.7859999999999999,1.768,0.342,0.08199999999999999,0.027999999999999997,-0.057,-0.039,-0.018000000000000002,0.94,,,3.97,3.55,5.15,,,0.909,G8V,V  ,1.6,0.57,0.19,0.06,0.87,0.37,0.04,3.85,100.1665280070446,0.1818,0.06500000000000039,,5.45063231922809e+31,1.493933356778037e+33,1.5244349552817583e+31,2.2359406402083957e+32,0.19569999999999865,0.4249999999999989,0.6771999999999991,0.6326,0.4249999999999989,15.402577697401973,15.3058,14.856247936634785,14.8243,14.663913109634507,14.6732,14.603713025774812,14.6286,14.604354822601154,14.5968,62.745854719009
145,145,211423302,55.0,0.25652,15.5558,15.0288,14.8548,14.8005,14.7549,13.866,13.44,13.390999999999998,133.108914,11.989965,SM,G9,5340.0,3.728,-0.21,5.55,-0.25,0.777,0.894,0.267,0.358,0.423,0.82,1.861,0.365,0.087,0.028999999999999998,-0.06,-0.038,-0.018000000000000002,0.9,,,4.14,3.69,5.34,,,0.8759999999999999,G9V,,,,,,,,,,108.16653826230892,0.1752,0.09499999999999977,,4.473702464377127e+31,9.645643896996797e+32,1.298580190058063e+31,2.109942005707607e+32,0.2283000000000009,0.4750000000000014,0.7553000000000001,0.7010000000000005,0.4750000000000014,15.66027324053483,15.5558,15.06132153020358,15.0288,14.84577946915858,14.8548,14.772927032221098,14.8005,14.769514200385409,14.7549,67.84706199710779
146,146,211423883,47.0,0.170191,14.128,13.7718,13.6823,13.6705,13.6452,12.82,12.578,12.497,132.541442,11.998322,SM,G1,5880.0,3.769,-0.1,4.5,0.13,0.604,0.6609999999999999,0.195,0.067,0.34,0.672,1.4580000000000002,0.267,0.068,0.027000000000000003,-0.044000000000000004,-0.042,-0.01,1.07,9.8,,3.38,3.04,4.4,,,1.12,G1V,,,,,,,,,,77.67453464934242,0.2240000000000001,0.16500000000000006,,1.1177216833842651e+32,8.401004635966279e+33,2.8461593949731084e+31,3.1917646267567214e+33,0.10130000000000017,0.3230000000000004,0.4574999999999996,0.4457000000000004,0.3230000000000004,14.202979171675649,14.128,13.801408030427721,13.7718,13.672303043823158,13.6823,13.653910715836062,13.6705,13.630594466032948,13.6452,24.784989626971086
