EPIC,DEJ2000,H,J,K,RAJ2000,angDist,gmag,imag,rmag,ymag,zmag,Unnamed: 0,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,72,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,r_z,J_K,g_z,g_i,J-K
210770541,19.42113725,11.559000000000001,12.169,11.29,58.35042729999999,0.967772,17.0077,14.3895,15.7904,13.424000000000001,13.7358,73.0,M3.5,3250.0,3.512,-2.27,12.19,-2.07,1.6019999999999999,,1.4669999999999999,1.2,1.178,2.68,5.0,0.5579999999999999,0.26899999999999996,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431323,0.05820000000000001,0.375,,2.957123237734915e+29,2.53706284034917e+28,1.2469591636501151e+29,2.1906761535664245e+28,2.0546000000000006,0.8790000000000013,3.2719000000000005,2.6182,0.8790000000000013
210784603,19.63452662,10.349,10.995,10.13,52.76493933,0.8448709999999999,14.6234,12.887,13.4024,12.1404,12.475,70.0,M2,3550.0,3.55,-1.65,10.3,-1.57,1.5,,1.0859999999999999,1.17,1.001,2.173,4.24,0.6,0.23399999999999999,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.37626158015652,0.0868,0.125,,1.1620251549648298e+30,4.724232079919543e+29,3.8571445582046134e+29,1.3597432953833746e+29,0.9274000000000004,0.8649999999999984,2.1484000000000005,1.7363999999999997,0.8649999999999984
210804032,19.92809932,14.252,14.769,13.925,56.19716124,0.736024,20.3676,17.3172,19.024,16.1667,16.5336,75.0,M4.5,3100.0,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.44003745095898,0.048600000000000004,0.15499999999999936,,1.4956048424711977e+29,6.372813724560242e+27,5.801733681715048e+28,2.2744616118030334e+27,2.490400000000001,0.8439999999999994,3.8339999999999996,3.0504,0.8439999999999994
210817106,20.12891491,12.763,13.342,12.485999999999999,55.82815969,0.7756460000000001,18.2461,15.593,17.0323,14.5932,14.9182,72.0,M3,3410.0,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000256,0.0738,0.14499999999999957,,6.484488809329398e+29,1.4266952797331434e+29,2.8165829772900166e+29,4.76337656086982e+28,2.1140999999999988,0.8560000000000016,3.327899999999998,2.6530999999999985,0.8560000000000016
210837336,20.4384943,9.294,9.849,9.137,58.03672345,0.267281,12.56,11.319,11.704,10.963,11.088,64.0,K8,4000.0,3.602,-1.03,8.47,-1.1,1.3559999999999999,1.5619999999999998,0.7509999999999999,1.216,0.843,1.632,3.487,0.623,0.17600000000000002,0.081,,,,0.63,,,5.78,4.98,7.44,,,0.5870000000000001,K8V,,,,,,,,,,65.06407098365452,0.11740000000000002,0.13000000000000034,,4.388824163257169e+30,7.661807289480495e+30,1.273935063983215e+30,2.2934552225196235e+30,0.6160000000000014,0.7119999999999997,1.4720000000000013,1.2409999999999997,0.7119999999999997
210899735,21.38606631,12.35,12.927,12.112,53.00992535,1.1084049999999999,17.6306,15.0955,16.4601,14.1664,14.4663,72.0,M3,3410.0,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000256,0.0738,0.14499999999999957,,6.484488809329398e+29,1.4266952797331434e+29,2.8165829772900166e+29,4.76337656086982e+28,1.9938000000000002,0.8149999999999995,3.164300000000001,2.5351000000000017,0.8149999999999995
210904850,21.46540439,14.248,14.925999999999998,13.895,53.048189199999996,0.7821779999999999,21.3034,18.0993,20.3305,16.4311,17.0259,77.0,M5.5,3000.0,3.477,-3.8,15.51,-2.79,1.91,,,1.3,1.656,3.6639999999999997,6.5,0.588,0.32899999999999996,,0.19,,,0.12,,,9.93,9.01,11.71,1.13,0.52,0.149,M5.5V,,,,,,,,,,96.4365076079555,0.0298,0.34500000000000064,,4.194361443875752e+28,4.114634132112402e+26,1.786158031990255e+28,3.2686318494256526e+26,3.3046000000000006,1.0309999999999988,4.2775,3.2041000000000004,1.0309999999999988
210914325,21.61457798,13.552999999999999,14.120999999999999,13.187000000000001,59.70861556,0.819204,20.4054,16.9775,19.0349,15.5492,16.0236,76.0,M5,3030.0,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.2769999999999997,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.19899999999999998,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.0398,0.25,,8.021215831913957e+28,2.0152606473591297e+27,2.5511216939277473e+28,1.1600772812766657e+27,3.011300000000002,0.9339999999999975,4.381800000000002,3.427900000000001,0.9339999999999975
210917578,21.66546458,13.937000000000001,14.550999999999998,13.614,59.87223717,0.80681,20.2922,17.1444,18.9717,15.882,16.3023,74.0,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000001,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.6693999999999996,0.9369999999999976,3.9899000000000022,3.1478,0.9369999999999976
210967607,22.46371375,14.612,15.174000000000001,14.243,56.10635129,0.8254370000000001,21.4818,18.0912,20.296,16.5898,17.1037,76.0,M5,3030.0,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.2769999999999997,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.19899999999999998,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.0398,0.25,,8.021215831913957e+28,2.0152606473591297e+27,2.5511216939277473e+28,1.1600772812766657e+27,3.1922999999999995,0.9310000000000009,4.3781,3.390599999999999,0.9310000000000009
210971138,22.52183586,11.448,12.119000000000002,11.248,53.29379581,0.7959649999999999,16.1843,13.9939,14.9381,13.3023,13.5325,70.0,M2,3550.0,3.55,-1.65,10.3,-1.57,1.5,,1.0859999999999999,1.17,1.001,2.173,4.24,0.6,0.23399999999999999,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.37626158015652,0.0868,0.125,,1.1620251549648298e+30,4.724232079919543e+29,3.8571445582046134e+29,1.3597432953833746e+29,1.4055999999999997,0.8710000000000022,2.6517999999999997,2.1904000000000003,0.8710000000000022
211004088,23.03981493,11.863,12.555,11.619000000000002,59.04334657,0.6474310000000001,17.0137,14.6061,15.7287,13.7871,14.0612,71.0,M2.5,3500.0,3.544,-1.76,10.7,-1.68,1.5219999999999998,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.11699999999999999,,,,0.44,,,7.01,6.27,8.94,0.57,,0.39299999999999996,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.94598884334107,0.0786,0.14499999999999957,,8.912155551898872e+29,2.422876202803946e+29,2.8997529142002895e+29,8.089374008782234e+28,1.6675000000000004,0.9359999999999982,2.9525000000000006,2.4076000000000004,0.9359999999999982
211012313,23.17022601,11.999,12.655999999999999,11.700999999999999,56.36553905,0.536211,17.2339,14.7445,15.9514,13.8932,14.1789,73.0,M3.5,3250.0,3.512,-2.27,12.19,-2.07,1.6019999999999999,,1.4669999999999999,1.2,1.178,2.68,5.0,0.5579999999999999,0.26899999999999996,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431323,0.05820000000000001,0.375,,2.957123237734915e+29,2.53706284034917e+28,1.2469591636501151e+29,2.1906761535664245e+28,1.772499999999999,0.9550000000000001,3.054999999999998,2.489399999999998,0.9550000000000001
211018285,23.26241403,10.758,11.384,10.625,54.21895239,0.636162,14.1965,12.795,13.14,12.4594,12.607000000000001,66.0,M0,3870.0,3.588,-1.16,8.91,-1.2,1.4080000000000001,1.6230000000000002,0.8320000000000001,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.6,,,6.04,5.22,7.75,0.33,,0.5589999999999999,M0V,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,69.99999999736431,0.1118,0.08000000000000007,,3.3278371931832423e+30,3.7525909284703144e+30,1.0087642760722682e+30,6.912527945600352e+29,0.5329999999999995,0.7590000000000003,1.5894999999999992,1.4015000000000004,0.7590000000000003
211026906,23.39743167,11.58,12.093,11.357999999999999,61.15491945,0.647977,16.8279,14.2468,15.6272,13.3494,13.6398,71.0,M2.5,3500.0,3.544,-1.76,10.7,-1.68,1.5219999999999998,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.11699999999999999,,,,0.44,,,7.01,6.27,8.94,0.57,,0.39299999999999996,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.94598884334107,0.0786,0.14499999999999957,,8.912155551898872e+29,2.422876202803946e+29,2.8997529142002895e+29,8.089374008782234e+28,1.987400000000001,0.7350000000000012,3.1881000000000004,2.5810999999999993,0.7350000000000012
211029507,23.43900215,14.245999999999999,14.892000000000001,13.98,53.82822559,0.797964,20.9753,17.647000000000002,19.618,16.2416,16.7191,76.0,M5,3030.0,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.2769999999999997,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.19899999999999998,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.0398,0.25,,8.021215831913957e+28,2.0152606473591297e+27,2.5511216939277473e+28,1.1600772812766657e+27,2.8988999999999976,0.9120000000000008,4.2562,3.3282999999999987,0.9120000000000008
211029542,23.43952156,12.607999999999999,13.23,12.317,60.07057473,0.8490530000000001,17.9678,15.4013,16.7101,14.5045,14.8044,72.0,M3,3410.0,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000256,0.0738,0.14499999999999957,,6.484488809329398e+29,1.4266952797331434e+29,2.8165829772900166e+29,4.76337656086982e+28,1.9057000000000013,0.9130000000000003,3.163400000000001,2.5664999999999996,0.9130000000000003
211038095,23.5782156,14.372,15.044,13.929,56.14964295,0.665259,21.4785,17.9369,20.0051,16.4624,16.9618,76.0,M5,3030.0,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.2769999999999997,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.19899999999999998,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.0398,0.25,,8.021215831913957e+28,2.0152606473591297e+27,2.5511216939277473e+28,1.1600772812766657e+27,3.0432999999999986,1.1150000000000002,4.5167,3.541599999999999,1.1150000000000002
211038138,23.578769,12.59,13.165999999999999,12.325999999999999,60.27428621,0.881712,18.0185,15.3925,16.7954,14.4295,14.7472,72.0,M3,3410.0,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000256,0.0738,0.14499999999999957,,6.484488809329398e+29,1.4266952797331434e+29,2.8165829772900166e+29,4.76337656086982e+28,2.0482000000000014,0.8399999999999999,3.2713,2.6259999999999994,0.8399999999999999
211040918,23.624010000000002,7.1160000000000005,7.2410000000000005,7.067,56.642520999999995,0.161045,8.168,8.02,8.05,8.024,7.98,41.0,F5,6510.0,3.814,-0.04,3.4,0.54,0.43799999999999994,0.455,0.132,-0.028999999999999998,0.252,0.506,1.079,0.17300000000000001,0.054000000000000006,0.027999999999999997,-0.03,-0.045,-0.004,1.33,9.3,0.29,2.55,2.32,3.36,,,1.46,F5V,V  ,1.09,0.26,0.03,-0.02,0.71,0.22,0.0,2.62,150.44378795084714,0.292,0.08499999999999996,,2.795425514183495e+32,9.21151840903485e+34,8.060930582680416e+31,1.8028759226611287e+34,0.07000000000000028,0.17400000000000038,0.18799999999999883,0.1479999999999997,0.17400000000000038
211052416,23.81343161,13.88,14.514000000000001,13.544,57.55255149,0.81193,20.1967,17.0426,18.8463,15.792,16.1993,74.0,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000001,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.6469999999999985,0.9700000000000006,3.997399999999999,3.1540999999999997,0.9700000000000006
211052796,23.81920036,13.76,14.433,13.513,58.45022732,0.7739520000000001,20.8798,17.3029,19.4511,15.8084,16.3136,76.0,M5,3030.0,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.2769999999999997,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.19899999999999998,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.0398,0.25,,8.021215831913957e+28,2.0152606473591297e+27,2.5511216939277473e+28,1.1600772812766657e+27,3.1374999999999993,0.9199999999999999,4.5661999999999985,3.5768999999999984,0.9199999999999999
211056608,23.87991242,13.42,14.048,13.097999999999999,56.75155042,0.7054239999999999,20.0949,16.733,18.6838,15.3813,15.8328,76.0,M5,3030.0,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.2769999999999997,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.19899999999999998,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.0398,0.25,,8.021215831913957e+28,2.0152606473591297e+27,2.5511216939277473e+28,1.1600772812766657e+27,2.851000000000001,0.9500000000000011,4.2620999999999984,3.3618999999999986,0.9500000000000011
