EPIC,DEJ2000,H,J,K,RAJ2000,angDist,gmag,imag,rmag,ymag,zmag,Unnamed: 0,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,72,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,r_z,J_K,g_z,g_i,J-K
211059010,23.91571359,14.095,14.685,13.737,55.42677818,0.939398,21.5931,17.9278,20.2139,16.2575,16.8609,77.0,M5.5,3000.0,3.477,-3.8,15.51,-2.79,1.91,,,1.3,1.656,3.6639999999999997,6.5,0.588,0.32899999999999996,,0.19,,,0.12,,,9.93,9.01,11.71,1.13,0.52,0.149,M5.5V,,,,,,,,,,96.4365076079555,0.0298,0.34500000000000064,,4.194361443875752e+28,4.114634132112402e+26,1.786158031990255e+28,3.2686318494256526e+26,3.352999999999998,0.9480000000000004,4.732199999999999,3.6652999999999984,0.9480000000000004
211060530,23.93963573,12.54,13.152000000000001,12.311,57.40054762,0.81021,18.1855,15.444,16.9166,14.4548,14.7603,72.0,M3,3410.0,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000256,0.0738,0.14499999999999957,,6.484488809329398e+29,1.4266952797331434e+29,2.8165829772900166e+29,4.76337656086982e+28,2.156299999999998,0.8410000000000011,3.4252000000000002,2.7415000000000003,0.8410000000000011
211067590,24.05124908,14.084000000000001,14.709000000000001,13.815,56.49049731,0.7374890000000001,20.4598,17.3764,19.2356,16.0758,16.5003,74.0,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000001,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.7353000000000023,0.8940000000000019,3.959500000000002,3.083400000000001,0.8940000000000019
211067949,24.05727278,13.636,14.185,13.248,58.34038989,0.727017,19.9781,16.8131,18.6404,15.5414,15.9681,75.0,M4.5,3100.0,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.44003745095898,0.048600000000000004,0.15499999999999936,,1.4956048424711977e+29,6.372813724560242e+27,5.801733681715048e+28,2.2744616118030334e+27,2.6723,0.9370000000000012,4.010000000000002,3.1650000000000027,0.9370000000000012
211071563,24.11825561,11.411,12.07,11.181,54.8978426,0.7546010000000001,16.294,14.0362,15.0576,13.3184,13.5961,71.0,M2.5,3500.0,3.544,-1.76,10.7,-1.68,1.5219999999999998,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.11699999999999999,,,,0.44,,,7.01,6.27,8.94,0.57,,0.39299999999999996,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.94598884334107,0.0786,0.14499999999999957,,8.912155551898872e+29,2.422876202803946e+29,2.8997529142002895e+29,8.089374008782234e+28,1.461500000000001,0.8890000000000011,2.6979000000000006,2.2578000000000014,0.8890000000000011
211073598,24.15160446,13.511,14.164000000000001,13.263,55.8697887,0.625052,19.6718,16.6307,18.377,15.4687,15.8426,74.0,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000001,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.5343999999999998,0.9010000000000016,3.829200000000002,3.0411,0.9010000000000016
211075777,24.1857195,13.632,14.184000000000001,13.302,55.83801619,0.647383,19.7104,16.7176,18.4427,15.5649,15.9433,74.0,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000001,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.499399999999998,0.8820000000000014,3.7670999999999992,2.992799999999999,0.8820000000000014
211076042,24.189842000000002,7.178999999999999,7.294,7.115,56.56669,0.33760999999999997,8.152000000000001,8.071,8.074,8.055,8.057,45.0,F9,6040.0,3.781,-0.08,4.15,0.26,0.552,0.5870000000000001,0.175,0.013999999999999999,0.312,0.62,1.34,0.237,0.063,0.027000000000000003,-0.040999999999999995,-0.044000000000000004,-0.013999999999999999,1.14,9.7,0.37799999999999995,3.11,2.81,4.07,,,1.23,F9V,,,,,,,,,,125.03332888871762,0.246,0.07499999999999996,,1.5103947209743802e+32,1.7961029425428407e+34,4.287525347915312e+31,3.101759895736413e+33,0.01699999999999946,0.17899999999999938,0.09500000000000064,0.0810000000000013,0.17899999999999938
211078009,24.22013332,8.847000000000001,9.262,8.753,56.43516356,0.6993189999999999,10.85,9.5856,10.1545,11.9968,9.9093,57.0,K1,5170.0,3.713,-0.26,5.89,-0.36,0.847,0.976,0.301,0.491,0.457,0.879,2.021,0.402,0.094,0.03,-0.064,-0.038,-0.013000000000000001,0.85,,,4.47,3.97,5.65,,,0.8140000000000001,K1V,,,,,,,,,,120.13880860480478,0.16280000000000003,0.10000000000000009,,3.1896281014059745e+31,4.724232079919543e+32,9.779213863473744e+30,1.0877946363067007e+32,0.24520000000000053,0.5090000000000003,0.9406999999999996,1.2644000000000002,0.5090000000000003
211078329,24.22522124,14.200999999999999,14.832,13.86,56.79918868,0.737701,21.8158,18.0735,20.4842,16.3531,16.9477,77.0,M5.5,3000.0,3.477,-3.8,15.51,-2.79,1.91,,,1.3,1.656,3.6639999999999997,6.5,0.588,0.32899999999999996,,0.19,,,0.12,,,9.93,9.01,11.71,1.13,0.52,0.149,M5.5V,,,,,,,,,,96.4365076079555,0.0298,0.34500000000000064,,4.194361443875752e+28,4.114634132112402e+26,1.786158031990255e+28,3.2686318494256526e+26,3.5365,0.9720000000000013,4.868099999999998,3.7423,0.9720000000000013
211078745,24.23145942,13.475999999999999,14.04,13.149000000000001,56.79949663,0.768568,20.0872,16.8153,18.7478,15.4533,15.9028,76.0,M5,3030.0,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.2769999999999997,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.19899999999999998,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.0398,0.25,,8.021215831913957e+28,2.0152606473591297e+27,2.5511216939277473e+28,1.1600772812766657e+27,2.8450000000000024,0.8909999999999982,4.1844,3.2718999999999987,0.8909999999999982
211080604,24.25950658,13.83,14.485,13.616,56.78930305,0.786404,20.4804,17.1645,19.0516,15.8392,16.2728,76.0,M5,3030.0,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.2769999999999997,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.19899999999999998,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.0398,0.25,,8.021215831913957e+28,2.0152606473591297e+27,2.5511216939277473e+28,1.1600772812766657e+27,2.7788000000000004,0.8689999999999998,4.207599999999999,3.315899999999999,0.8689999999999998
211083805,24.30886386,12.498,13.017000000000001,12.213,59.73477478,0.8983200000000001,,16.7267,18.3326,,,74.0,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000001,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,,0.804000000000002,,,0.804000000000002
211093202,24.45525805,13.755,14.382,13.501,57.17793928,0.875192,19.9502,16.9075,18.6451,15.7246,16.115,74.0,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000001,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.530100000000001,0.8810000000000002,3.8352000000000004,3.0427,0.8810000000000002
211094556,24.47606446,14.552999999999999,15.28,14.175999999999998,56.63353905,0.732526,21.6316,18.23,20.3751,16.6797,17.204,77.0,M5.5,3000.0,3.477,-3.8,15.51,-2.79,1.91,,,1.3,1.656,3.6639999999999997,6.5,0.588,0.32899999999999996,,0.19,,,0.12,,,9.93,9.01,11.71,1.13,0.52,0.149,M5.5V,,,,,,,,,,96.4365076079555,0.0298,0.34500000000000064,,4.194361443875752e+28,4.114634132112402e+26,1.786158031990255e+28,3.2686318494256526e+26,3.171099999999999,1.104000000000001,4.427599999999998,3.4015999999999984,1.104000000000001
211103431,24.61534739,13.431,14.037,13.173,56.93521504,0.8895209999999999,19.3913,16.4631,18.0782,15.3461,15.7228,73.0,M3.5,3250.0,3.512,-2.27,12.19,-2.07,1.6019999999999999,,1.4669999999999999,1.2,1.178,2.68,5.0,0.5579999999999999,0.26899999999999996,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431323,0.05820000000000001,0.375,,2.957123237734915e+29,2.53706284034917e+28,1.2469591636501151e+29,2.1906761535664245e+28,2.3553999999999995,0.8640000000000008,3.6685000000000016,2.9282000000000004,0.8640000000000008
211115160,24.80944228,11.453,12.158,11.228,59.23788845,0.6940390000000001,16.6923,14.231,15.454,13.3487,13.6284,72.0,M3,3410.0,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000256,0.0738,0.14499999999999957,,6.484488809329398e+29,1.4266952797331434e+29,2.8165829772900166e+29,4.76337656086982e+28,1.8256000000000014,0.9299999999999997,3.0639000000000003,2.4612999999999996,0.9299999999999997
211127791,25.02919039,11.484000000000002,12.200999999999999,11.254000000000001,57.03677201,0.748049,16.7808,14.332,15.6131,13.4565,13.7497,71.0,M2.5,3500.0,3.544,-1.76,10.7,-1.68,1.5219999999999998,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.11699999999999999,,,,0.44,,,7.01,6.27,8.94,0.57,,0.39299999999999996,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.94598884334107,0.0786,0.14499999999999957,,8.912155551898872e+29,2.422876202803946e+29,2.8997529142002895e+29,8.089374008782234e+28,1.8633999999999986,0.9469999999999974,3.0310999999999986,2.4487999999999985,0.9469999999999974
211132306,25.10745309,11.663,12.341,11.413,59.55806436,0.722346,17.0792,14.5016,15.7356,13.6166,13.9148,71.0,M2.5,3500.0,3.544,-1.76,10.7,-1.68,1.5219999999999998,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.11699999999999999,,,,0.44,,,7.01,6.27,8.94,0.57,,0.39299999999999996,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.94598884334107,0.0786,0.14499999999999957,,8.912155551898872e+29,2.422876202803946e+29,2.8997529142002895e+29,8.089374008782234e+28,1.8208000000000002,0.927999999999999,3.1644000000000005,2.5776000000000003,0.927999999999999
211135624,25.16795138,14.199000000000002,14.829,13.975,59.21802447,0.768972,21.3044,17.7286,19.8297,16.227999999999998,16.7434,75.0,M4.5,3100.0,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.44003745095898,0.048600000000000004,0.15499999999999936,,1.4956048424711977e+29,6.372813724560242e+27,5.801733681715048e+28,2.2744616118030334e+27,3.086299999999998,0.854000000000001,4.561,3.575800000000001,0.854000000000001
211136223,25.17826034,13.984000000000002,14.607999999999999,13.765,58.17592336,0.794189,20.2236,17.152,18.9609,15.9103,16.307000000000002,74.0,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000001,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.6538999999999966,0.8429999999999982,3.916599999999999,3.0716,0.8429999999999982
211142460,25.29523745,12.727,13.339,12.462,58.226122399999994,0.770524,18.4063,15.614,17.119,14.5905,14.9237,72.0,M3,3410.0,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000256,0.0738,0.14499999999999957,,6.484488809329398e+29,1.4266952797331434e+29,2.8165829772900166e+29,4.76337656086982e+28,2.1952999999999996,0.8770000000000007,3.4826000000000015,2.792300000000001,0.8770000000000007
211142730,25.30083383,13.899000000000001,14.574000000000002,13.591,58.28120171,0.6102380000000001,20.6654,17.3961,19.2624,16.0197,16.4931,76.0,M5,3030.0,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.2769999999999997,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.19899999999999998,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.0398,0.25,,8.021215831913957e+28,2.0152606473591297e+27,2.5511216939277473e+28,1.1600772812766657e+27,2.769300000000001,0.9830000000000023,4.1723000000000035,3.269300000000001,0.9830000000000023
211143760,25.31996722,14.539000000000001,15.208,14.217,60.49831316,0.773201,20.7549,17.7053,19.3447,16.5401,16.9361,75.0,M4.5,3100.0,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.44003745095898,0.048600000000000004,0.15499999999999936,,1.4956048424711977e+29,6.372813724560242e+27,5.801733681715048e+28,2.2744616118030334e+27,2.4086,0.9909999999999997,3.8187999999999995,3.049599999999998,0.9909999999999997
211162249,25.66389618,12.337,12.885,12.065999999999999,59.98300481,1.064489,17.9087,15.137,16.5952,14.1694,14.4711,72.0,M3,3410.0,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000256,0.0738,0.14499999999999957,,6.484488809329398e+29,1.4266952797331434e+29,2.8165829772900166e+29,4.76337656086982e+28,2.1240999999999985,0.8190000000000008,3.4375999999999998,2.771699999999999,0.8190000000000008
